,course_id,translated_title,category,instructional_level,translated_headline,translated_objectives_summary
106443,121918,MySQLi For Beginners,development,Intermediate Level,A quick and helpful lesson on database integration using the MySQLi extension.,['Work with a MySQL database with PHP to build applications that depend on a database connection. This course covers all required elements of MySQLi from working with data to security.']
106446,1176380,Getting Started with Elixir,development,Intermediate Level,"Learn how to use Elixir in building scalable, fault tolerable and maintainable applications.","['Understand functional programming and get to know the origins of Elixir.', 'Create applications using the Mix tool set.', 'Grasp the core concepts of the language and its data structures.']"
106448,1435762,Artificial Intelligence #1: Linear & MultiLinear Regression,development,All Levels,Regression techniques for students and professionals. Learn Linear & Multilinear Regression and code them in python,"['Program Linear Regression from scratch in python.', 'Program Multilinear Regression from scratch in python.', 'Predict output of model easily and precisely.']"
106449,2463402,Convolutional Neural Networks for Image Classification,development,Intermediate Level,"Design your own deep CNN for accurate image recognition, train and test in Real Time by camera","['Design deep CNNs architectures with high accuracy results', 'Demonstrate classification in Real Time by camera', 'Generate synthetic data to augment existing dataset']"
106455,4271272,Time Series Analysis Real world use-cases in python,development,All Levels,"Learn how to Solve real World Business Problems. ,Build Time Series Models for Time Series Analysis & Forecasting","['Carry out time-series analysis in Python and interpreting the results, based on the real world challenges', 'Forecast the future based on patterns observed in the past.', 'Gain Hands-on by solving Real World challenges']"
106467,767314,Process Big Data using Apache PIG,development,Intermediate Level,Learn analyzing and processing big data Using Apache Pig,"['Overview of Big Data and Hadoop Framework', 'Anatomy of a MapReduce Framework', 'Basics of Apache Pig tool and Where we should use it or not']"
106470,2424244,Node Local SQLite Database with Node for beginners,development,Beginner Level,Explore how to apply NodeJS to make your web content come to life - explore how to create a local database,"['how to write NodeJS', 'Explore how nodeJS works', 'Explore various useful package for node']"
106481,1121780,Learn to use SQL for Data Analysis and Reporting,development,Beginner Level,Introduction to Data Analysis and Reporting Using SQL and ORACLE Database,"['Analyse data using Aggregate functions', 'Analyse data using Analytic functions', 'Analyse data using SET operators']"
106483,3486326,Beginners MongoDB Guide along with Mongoose,development,All Levels,"Master MongoDB Development for Web. CRUD Operations,MongooseJS - All about MongoDB!","['Understand how MongoDB stores data', 'Use all features MongoDB offers you to work with data efficiently', 'Gain mastery of the most popular MongoDB interface, Mongoose JS']"
106487,3086988,D3.js - the art of data visualization,development,All Levels,Mastering data visualization with the D3 library,"['Developing appealing visualizations', 'Effective coding with the D3 library', 'Storytelling with data']"
106491,2539612,Python Django: Learn Django Core From Scratch,development,Beginner Level,"Django python from scratch. Learn Django core, full stack web development with Django python, Django rest framework","['Learn Django, django python', 'Learn how to setting up Python, PostgreSQL, Visual Studio Code, Postgres App, PgAdmin on Mac', 'Understand how to use Python and Django Framework']"
106494,2719580,MongoDB In Nutshell - Example driven Quick Start in MongoDB,development,All Levels,Master MongoDB database from scratch - CRUD operations - All about basic MongoDB data handling,"['MongoDB from basic to advanced', 'Learn MongoDB through hands-on practicals in most Simple way & Direct', 'Understand the basic concepts of MongoDB database, collection and document']"
106495,3409900,Intermediate SQL for data analysis (no installation needed!),development,Intermediate Level,An SQLcourse that puts an emphasis on solving interesting analysis problems. No need to install databases.,"['sql', 'sql server', 'analytics']"
106506,1644168,70-761: Querying Data with Transact-SQL Introductory Course,development,Beginner Level,Ideal for beginners who want to earn Microsoft certification for SQL Server.,"['Understand database design', 'Understand first, second and third normal form schemas', 'Normalize Databases']"
106518,1616524,Java Database Connectivity (JDBC),development,Intermediate Level,Understanding JDBC and MySQL database.,['Student will be able to work with java database connectivity.']
106528,1282950,27 Practical SQL  Queries to solve Business Problems,development,Beginner Level,Hands-on beginner  Practical SQL Queries,"['Build SQL Queries  to get all records  from a database table', 'Build SQL Queries to get records from selected columns', 'Build SQL Queries to perform table  Joins  to get data from multiple tables']"
106536,1947536,Python Digital Forensics,development,Beginner Level,Use common Python libraries and tools to excel in network and host digital forensics,"['Think like an attacker and solve forensics issues with more efficiently', 'Learn network forensics to drive your host analysis', 'Investigate with the utmost efficiency in Windows and GNU/Linux environments']"
106543,351998,FileMaker Pro 13 for beginners,development,Beginner Level,This is a complete top to bottom course to learn database information management using FileMaker Pro for a beginner.,"['This FileMaker Developer Course contains 12 hours of instructional lessons and 65 lectures providing top to bottom use of FileMaker Pro 13', 'you will learn the basics of database design and analysis', 'you will be able to define the database design requirements']"
106549,3134370,250+ Exercises - Data Science Bootcamp in Python - 2022,development,Beginner Level,Improve your Python programming skills and solve over 250 data science exercises!,"['solve over 250 exercises in data science in Python', 'deal with real programming problems', 'deal with real problems in data science']"
106554,4192538,Building An Uber Eats Clone With No-Code Using Bubble,development,All Levels,Learn the step-by-step process to building an Uber Eats clone without writing a single line of code.,"['How to build your own meal delivery app like Uber Eats without writing a single line of code', ""An overview of Bubble's no-code toolset"", 'How to set up your own custom database']"
106555,3434240,Web Hosting: Learn How to Upload Website+PHP Form Submission,development,All Levels,Learn how to Upload Landing Page HTML website + PHP website with database + Contact Form Submission + Free Web Hosting,"['Learn how to create a free hosting account', 'Learn how to upload website live on server using different hosting services', 'Learn how to upload PHP website with database']"
106561,2021504,Learn MariaDB SQL for beginners from scratch,development,Beginner Level,Practical Hands -on SQL with MariaDB,"['Install and configure MariaDB', 'Create database tables', 'Add new records into database tables']"
106572,2773584,"Create a Goolge Blogger CMS Clone In PHP, JavaScript, MySQL",development,All Levels,"Build a WordPress & Blogger like CMS & Learn, How to Create Multi Blogging Platform in PHP,PDO,JavaScript,MySQL","['Build your own CMS like Blogger with most amazing features such as multi blogs, subdomains, Template edtior,  Drag and drop Gadgets, new Posts and much more!', 'Know how to easily use PDO with MySQL databases', 'Learn how to develop using an PHP OOP (Object Oriented) approach']"
106576,1423976,Learning path: React: Master Design Patterns with React,development,Intermediate Level,Ascend your application development skills by building scalable and modular apps using powerful design patterns of React,"['Write clean and maintainable code', 'Create reusable components applying consolidated techniques', 'Explore the technique of data fetching using the react-refetch function']"
106577,2594762,"PHP with PDO: Build Task List Project with PDO, PHP & MySQL",development,Intermediate Level,Learn PHP Data Object or PDO by Building Task List Project. Let's Make Your Database Queries Secured and Fast with PDO,"['Learn to use PDO with PHP', 'How to work with PHP Data Object (PDO)', 'How to make database queries secured and efficient']"
106581,601388,Learning KnockoutJS,development,Beginner Level,"Create powerful data-driven web applications using KnockoutJS, with the help of real-world examples","['Use the Model-View-ViewModel software design pattern to build amazing web applications and powerful user interfaces', 'Configure your application to track the changes in the UI and update data automatically', 'Enhance the functionality of your app and make it more interactive by extending the components of your code']"
106586,2635502,A Python Bootcamp For Kids,development,All Levels,A beginner's bootcamp to learn and understand python 3 programming.,"['Learn about Python Basics and Installation.', 'Acquire knowledge about Variables and Data Types.', 'Learn about Numbers, Strings and arrays.']"
106592,2163152,MySQL Database Bootcamp: Go from SQL Beginner to Expert,development,Beginner Level,"Master yourself in SQL, do practical projects with MySQL.","['Create your own database  or insert values in existing databases', 'Write Advance SQL queries', 'Become a proficient MySQL Workbench user(Create, import, export and query databases)']"
106594,2793224,iOS Firebase Masterclass - Real time Database and Firestore,development,Intermediate Level,"Learn Authentication, Cloud Functions, Crashytics, Ads, a Multiplayer game, Push notifications and more.","['Learn how to fluidly integrate an authentication workflow, to sign in and manage new users.', 'Create applications that leverage a backend database using the Real-time Database or Firestore solution.', 'Create an application that can upload and download image data using photo library or camera picture data.']"
106595,4202002,ElasticSearch as you have never known it before,development,All Levels,"ElasticSearch: from basics to advanced search system, recommendation module, php/python/java integration at real example","['ElasticSearch basic conceptions', 'Build advanced search systems using ElasticSearch', 'Create recommendation systems using ElasticSearch']"
106597,4471124,Python for Data Analysis & Visualization,development,All Levels,"Master the main data analysis and visualization libraries in Python: Numpy, Pandas, Matplotlib, Seaborn + more","['Python, we will be using Python3 in this course', 'Data Analysis Libraries in Python such as NumPy and Pandas', 'Data Visualization Libraries in Python such as Matplotlib and Seaborn']"
106600,2034430,CouchDB - Mastering Database Design with CouchDB,development,All Levels,"Learn about CouchDB, the processes to set it up, and the ways to interact with CouchDB server using cURL and Futon.","['Learn how to create, update and delete databases and documents.', 'Understand the difference between SQL and nosql databases', 'Learn the mechanics of CouchDb deployment']"
106604,2683610,Google Spreadsheet API Apps Script and JavaScript,development,All Levels,AJAX from your web application to Google Apps Script Web App API to get data from Google Spreadsheet,"['How to apply JavaScript AJAX and JSON', 'Google Apps Script how to setup a web app']"
106605,3571177,Data Structures and Algorithms using Java and Intellij,development,All Levels,"Practical training to ace your coding interviews. Learn LinkedList, Maps, Graphs, Binary Trees, Binary Search Trees, etc","['You will learn data structures and algorithms in a practical way.', 'Appear confident in java interviews and crack them easily', 'Learn about different types of LinkedList - concept, their algorithm and java implementation']"
106616,1248544,Data Visualization Techniques,development,Intermediate Level,Gain hands-on experience in creating effective visualizations,"['Understand, validate, and optimize your data for effective visualizations', 'Know how and when to use line charts, bar charts, dot plots, scatter plots, and distribution plots', 'Find out the best ways to maximize the impact of basic chart types']"
106624,3758122,Learn SQL databases in a weekend,development,Beginner Level,SQL crash-course with everything you need to jump into database programming projects. Learn it all in a single weekend!,"['Understand what SQL databases are and how to work with them', 'Be able to jump in a project requiring SQL knowledge', 'Create your own SQL database with multiple tables']"
106630,3369448,"Data Analysis with Python, Pandas and NumPy",development,All Levels,"Data Analysis with Python libraries - NumPy, Pandas, MatplotLib and Seaborn | 150+ MCQ Question | 2 Projects","['Student will learn data analysis techniques using numpy, pandas, matplotlib and seaborn.', 'This course provides theoretical and practical understanding of the key concept of data analysis and data visualization', 'The course provides excellent learning tool for creating strategies and correct business decision from the data at hand.']"
106631,3344094,Python for Data Science: Master NumPy & Pandas on Real Data,development,Beginner Level,"Master the power of NumPy, Pandas and Python built-in data structures by real life datasets. All dataset included.","['Learn Python for Data Science', 'Master the Pandas data structures Series and DataFrames', 'Master the NumPy Array and understand the strength of it']"
106634,1911812,Learn MariaDB : A Beginner to Advanced Guide,development,All Levels,Galera Cluster Building & Executing queries on MariaDB,"['Create Database', 'Select and drop database', 'Create Table']"
106638,2483298,Create An Auction Site From Scratch: PHP and MySQLi,development,Intermediate Level,"Use PHP, MySQLi, HTML and CSS To Create Your Very Own Auction Website","['How to create an authentication system', 'How to display items from a database', 'How to create the code to allow buyers to bid on an item']"
106640,3963248,Power BI vs Tableau: Ultimate Dashboard Masterclass,development,All Levels,Go hands-on with not one but two BI tools. Learn Power BI and Tableau: Build 12 dashboards from 6 industries.,"['How to create dashboards in Tableau', 'How to create dashboards in PowerBI', 'Loading datasets into Tableau and PowerBI']"
106646,3115994,C++ Programming Bootcamp - Learn Complete C++  From 0 to 100,development,All Levels,Start Your Coding Journey by Learning C++ Programming Language  From  Basic To Advance Level,"['Learn C++ programming language in detail', 'Learn encryption and decryption methods', 'Learn how to increase security of your data by using encryption algorithms']"
106647,798032,PHP Database Connections to MYSQL,development,Beginner Level,Easily to follow step by step guide to using PHP and MySQL databases,"['use PHP to access MySQL databases', 'add mySQl database to your websites', 'create database connections with PHP']"
106652,4330956,Learn Machine Learning & Data Science With Python Bootcamp,development,Beginner Level,Learn Machine learning and data science with python and solve real world machine learning problems,"['Understand the full product workflow for the machine learning lifecycle.', 'Learn to use NumPy for Numerical Data', 'Learn to use Pandas for Data Analysis']"
106655,507870,Mastering D3 JS,development,All Levels,Master the art of creating interesting and effective data visualizations with D3 JS,"['Create your own D3.js code that you can use for your future projects', 'Use functional programming, time formatting, and parsing to transform data from HTML to a cleaner CSV', 'Scrape and process data from the Web for your app']"
106657,743148,Learn R Programming and Data Fundamentals Through Exercises,development,All Levels,Hatch as an Expert in R Programming by learning through practical R exercises that you will see in Data Science,"['Solve data problems programmatically with R Programming', 'Get a head start in the complex data science technologies of modern day programming in R', 'Obtain the opportunity to learn more complex things like Machine Learning in R at the end of the course']"
106658,755802,Mastering Django Web Development,development,Expert Level,"Explore and master the advanced features of Django to build professional, manageable web applications","['Use complex class-based views to implement a variety of functionalities in Django', 'Optimize database querying with the use of different kinds of caching', 'Create and use your own custom middleware for a Django app']"
106663,2218484,SPSS Linear Regression Complete Tutorial with PhD Professor,development,All Levels,"Includes visusalizations, interactions, assumptions, data issues, power analysis, outliers, and detailed interpretations","['SPSS Linear Regression for Business or Dissertation', 'Visualizing Linear Regression Results', 'Advanced topics like interactions and categorical predictors']"
106671,1160910,R: Complete Data Visualization Solutions,development,Intermediate Level,Learn by doing - use R’s most popular packages and functions to create interactive visualizations,"['Create professional data visualizations and interactive reports', 'Deepen your knowledge by adding bar-charts, scatterplots, and time series plots using ggplot2', 'Enhance the user experience using dynamic visualisation']"
106673,3616740,Google BigQuery guide for beginners 2021,development,All Levels,The best way to get you started with data science in Google BigQuery in 2021,"['Understand the concept of BigQuery and how does it stand next to other databases such as MySQL or Postgress', 'Import your data to BigQuery and Cloud storage, create your table, export data', 'SQL basics – SELECT, WHERE, ORDER BY, LIKE, JOIN, Date and String functions']"
106677,973932,Learn Spring Security 4 Intermediate - Hands On,development,Intermediate Level,A more advanced tutorial on Spring Security 4,"['Understand Spring Security 4 Framework beyond basics', 'Understand how to use JDBC database for security authentication', 'Understand how to customize Authorization']"
106679,312762,Using MODX CMS to Build Websites: Intermediate Course,development,Intermediate Level,"Discover the creative power of MODX, a free open source CMS, and  smash the shackles of  Wordpress, Joomla and Drupal. ","['Build a blog ', 'Learn more about input and output filters for MODX tags', 'Get the low-down on data collections from online forms']"
106686,3127148,Python and Data Science from Scratch With RealLife Exercises,development,All Levels,"Python Data Science with Python programming, NumPy, Pandas, Matplotlib and dive into Data Science with Python Projects","['Learn the skills for collecting, shaping, storing, managing, and analyzing data with Python', 'The rise of data science needs will create 11.5 million job openings by 2026', 'Learn In-Demand Data Science Careers']"
106688,1544270,Advanced QlikView 12 for Developers,development,Intermediate Level,Design powerful dashboards with QlikView for BI solutions,"['Learn techniques and best practices to transform data in QlikView via scripts', ""Utilize QlikView's built-in aggregation functions to achieve complex calculations"", 'Create Point In Time reporting and achieve complex calculations using Set Analysis']"
106698,4398632,Intoduction to Jupyter Notebook Complete Course,development,All Levels,Jupyter Notebook to work with Python and data science for absolute beginners,"['Understanding about what the Jupyter is basically', 'The interface of the Jupyter Notebook', 'The basics of Jupyter Notebook like Commands, dashboard etc.']"
106708,3932714,Natural Language Processing Real World Use-cases in Python,development,All Levels,"Learn how to use NLTK , scikit-Learn , sentiment analysis  & many more to conduct to solve Real World Problems of NLP","['Hands on Real-World Projects on Various Domains of Natural Language Processing', 'Build Natural Language Processing & ML Models to solve a real world problem', 'Develop Natural Language Processing Models to predict Whether news is fake or real']"
106717,1017200,Create Executive Dashboards with SQL Server Report Builder,development,Beginner Level,Learn how to create executive dashboards used by top executives to make important business decisions,"['Create data sources', 'Create datasets', 'Create column charts']"
106718,1337264,Data Analytics for Business,development,All Levels,Fundamentals of Data Analytics for Business Professionals,"['Learn About Data Analytics for Business.', 'Understanding what it means to be a data-literate business professional', 'Recognize the role of predictive analytics in your business.']"
106720,2746684,Mastering CoreData with CloudKit in Swift 5 for iOS 13,development,All Levels,"Learn CoreData with CloudKit, Relationship, CRUD Operation, Context Menu, Dark Mode, SF Symbol, Animation Using Xcode 11","['Deep understanding how CoreData data persistent works in iOS', 'Deep understanding how CloudKit works in iOS', 'Learn how to implement CoreData with CloudKit']"
106725,2239198,Tuning Apache Spark: Powerful Big Data Processing Recipes,development,Beginner Level,Uncover the lesser known secrets of powerful big data processing with Spark and Kafka,"['How to attain a solid foundation in the most powerful and versatile technologies involved in data streaming: Apache Spark and Apache Kafka', 'Form a robust and clean architecture for a data streaming pipeline', 'Ways to implement the correct tools to bring your data streaming architecture to life']"
106740,4155042,Face Mask Recognition: Deep Learning based Desktop App,development,All Levels,"Learn and Build Face Recognition for Face Mask Detection Desktop App using Python, TensorFlow 2, OpenCV, PyQT, Qt","['Face Recognition for Mask detection with Deep Learning', 'Develop Convolutional Network Network for Face Mask from Scratch using TensorFlow', 'Preprocess the big data of image']"
106741,4017962,Fundamentals of Python Boot Camp 2021,development,All Levels,Designed for Working Professionals - Complete Python in just 2 hours,"['Fundamental understanding of the python programming language.', 'Advanced Python Programming enabling you to confidently apply for python programming jobs.', 'Data Processing with Pandas for Data Science.']"
106758,1130292,Store Secret Data in .NET Core Web App with Azure Key Vault,development,Intermediate Level,"Store secret/sensitive data with Azure Key Vault, Azure App Settings and .NET Core User Secrets in Visual Studio 2015/17","['You will learn to store sensitive data, such as passwords, in a secure manner. You will use .NET Core User Secrets, \x0bAzure Project Settings and Azure Key Vault in combination with Active Directory to achieve this.']"
106759,435664,Core skill for data science: learn dplyr package in R,development,Beginner Level,Master data manipulation task in R which is one of the most important tasks in data science cycle,"['Learn how to manipulate data efficiently with dplyr package in R', 'Learn how to use select , filter , arrange , group by and summarise command']"
106769,3111668,AWS Key Management Service - KMS Fundamentals,development,Intermediate Level,Learn the fundamentals of Key Management Service to integrate with AWS services to encrypt your data with confidence.,"['AWS Key Management Service fundamentals and using customer master key to encrypt data', 'Access Management for configure who can do what with master keys', 'Examples of using master keys to encrypt data on AWS S3 and EBS']"
106773,2153726,Hands-on technical aspects of software testing for beginners,development,Beginner Level,"Dive into the Ins & Outs of software testing: Test Analysis, Test Design & Test Execution with Jira XRay & Confluence","['Perform & manage complete test activities from analysis to test execution & reporting  mock projects with Jira X-Ray most popular defect & test management tool.', 'Structured approach to requirement traceability, test analysis, test design, test data prep, test execution & test reporting with or without test tools.', 'Extract functional & non-functional aspects from requirements or use cases and set preconditions to prepare for the software test life cycle (STLC).']"
106776,1497502,Sql Interview question and Answer,development,All Levels,SQL Top most common interview question and answer,['Better database job and better salary']
106782,3880742,SQL Bootcamp - Hands-On Exercises - SQLite - Part II - 2022,development,Beginner Level,Start your journey with SQL and databases. Solve over 150 exercises and open the door to a career in IT! (DDL + DML),"['solve over 150 exercises in SQL and databases', 'test yourself in DDL (Data Definition Language) and DML (Data Manipulation Language)', 'test yourself in creating tables']"
106788,1310706,Learning Path: Big Data Visualization,development,Intermediate Level,Gain hands-on experience in creating effective visualizations of your data,"['Find out how to utilize visualization best practices', 'Discover how to identify and understand your source data', 'Get to know how to match your dataset to the appropriate visualization type']"
106790,1032200,A Beginner's Guide To Creating Database Driven Applications,development,Beginner Level,Learn how to create a database driven application with ease using oracle's APEX,"['Create and Run Database Applications ', 'Create and manage user accounts', 'Create workspace']"
106792,1264304,Learning Path: AWS Certified Developer – Associate Complete,development,Intermediate Level,Become an AWS Certified Developer – Associate with this all-exclusive course,"['Set up your AWS environment', 'See how to use IAM to manage access to your users and resources', 'Get an overview of databases on AWS']"
106808,1951666,SAS for Data Science,development,All Levels,"Data Science, Sas Macros, Sas SQL, Sas Programming","['After taking this course students will be able to write programs using SAS as a tool, this course will be a guide for them to take them to the next level of expertise pertaining SAS.', 'This is going to give a great Curve to beginners/professionals to use SAS as a tool for their data work.']"
106809,923742,If You Can Cook You Can Code Vol 4: Big Data,development,All Levels,"Get the inside scoop on how Big Data works, even if you have  never written a line of code or worked in tech.","['Understand the gist of any big data conversation', 'Get ideas for big data projects or companies', 'Start taking more technical big data courses']"
106813,249580,Understanding PHP Data Objects (PDO),development,Beginner Level,Learn to use the PDO library to access databases using PHP,"['Work with MySQL and other database software from PHP including connecting, inserting, updating records, displaying database records in lists within HTML and database security.']"
106822,4410130,Programming macOS Using SwiftUI - Project Based Learning,development,All Levels,"Covers MVVM, Networking, Core Data, Maps and much much more.","['Building macOS applications using SwiftUI', 'MVVM Design Pattern for SwiftUI applications', 'Persisting using Core Data to SQLite database']"
106831,4365912,Build 6 Real World MYSQL Database Management Projects 2021,development,All Levels,"Master SQL Development By Creating Databases Design & Building Reports Through Projects-MySQL, PHP, HTML, CSS, Bootstrap","['Create your own database or interact with existing databases', 'Model real-world data and generate reports using SQL', 'Build real world projects to Learn MYSQL']"
106842,1895196,Getting Started with Programming in Python 3,development,Beginner Level,Learn the basics of coding with Python 3,"['Be able to write simple python programs.', 'Learn what programming actually means.']"
106848,1161882,24h Pro data science in R,development,All Levels,Practice data science with 24hs of material using real examples,"['Do machine learning in R', 'Process data for modelling']"
106855,1664594,Python for Data Analytics for Beginners by Doing Projects,development,Intermediate Level,"Learn data analytics by doing projects, python from 0 to intermediate, pandas, scipy, sklearn and multiple projects","['Learn the usage of Jupyter Notebook environment.', 'Learn Python programming from 0 to intermediate.', 'Deal with different data sources: json, CSV, API']"
106856,2512036,Microsoft SQL - Getting Started With The T SQL Basics,development,Beginner Level,"A complete guide to Microsoft T-SQL for Beginners, Microsoft SQL Server Express & SQL For Data Analysis / SQL Server DBA","['Learn to use and navigate the SQL server interface', 'Learn about the different object and data types in SQL Server', 'Select specific data from tables and views']"
106865,3556933,Advanced business analysis Techniques,development,Intermediate Level,"Improve User Requirements Using Wireframes, UML, and ERD, Turn Requirements into specifications","['Get an overview of project management, DevOps, and requirement gathering', 'Learn how to think about application layers, interface, logic, and data storage', 'Capture and precisely represent application requirements']"
106867,1950382,Build a Task Scheduler Admin Panel with Laravel,development,Intermediate Level,Learn how to create scheduled tasks using an Admin Panel UI built in Laravel 5.6,"['Make use of Laravel Command Scheduler in order to schedule tasks from a database', 'Create model observers and Notification Events', 'Use Query Caching to improve performance']"
106872,3209911,Kivy Python - Building Mobile Apps and Games with Python 3,development,Beginner Level,"Kivy is simple for beginners, powerful for the pros. You can use python kivy to create mobile apps and games.","['Using Python to create Mobile App and Games', 'Creating the Ping Pong mobile game', 'Creating a Painting Application']"
106885,683360,Neo4j : A NOSQL database from scratch,development,All Levels,Learn Neo4j Graph Database from a beginner point of view,"['Neo4j', 'Data Definition Language', 'Data Manipulation Language']"
106890,799678,"Richard Stibbard's ""Practical MySQL""",development,All Levels,All the MySQL you need to get you going with working with the database behind a dynamic website.,"['Most MySQL queries and built-in functions', 'MySQL on the command line in Windows', 'Relational database design - what it is and why we need it']"
106892,1165146,machine learning for beginners - neural networks,development,Beginner Level,Create you first neural networks in python  - a hands on guide for beginners,"['being able to create your own neural networks in python', 'train and evalute your neural network', 'make predictions with your model']"
106897,3799998,Data Science in R:  Regression & Classification Analysis,development,Beginner Level,Master Complete Hands-On Regression Analysis & Classification for applied Statistical Modelling & Machine Learning in R,"['Your comprehensive guide to Regression Analysis & Classification for machine learning using R-programming language', 'It covers theory and applications of supervised machine learning with the focus on regression & classification analysis', 'Implement Machine Learning Techniques/Classification Such As Random Forests, SVM etc in R']"
106901,3729216,Programming Fundamentals with Python(Included OOP),development,Beginner Level,Master Fundamentals of Programming using one of the most popular programming language Python.,"['Become a confident programmer from scratch.', 'Learn about programming behind the scenes.', 'Learn about python programming.']"
106912,2575000,"Sentiment analysis for chatbots - DialogFlow, IBM Watson",development,Intermediate Level,"Sentiment analysis for a chatbot with Google DialogFlow, IBM Watson, AFINN. Sensitive chatbot with sentiment analysis","['How sentiment analysis can benefit a chatbot', 'Common implementations scenarios for a chatbot', ""Use DialogFlow's sentiment analysis to make chatbot emotionally sensitive. You'll have a chatbot that can read the sentiment of the user's message and act on it""]"
106917,4264722,The Ultimate YAML Course - Learn YAML from Scratch,development,Beginner Level,"YAML tutorial for working with OpenAPI Specification, Swagger Tools, Azure DevOps, Kubernetes - the list goes on!","['Understand YAML and how it is different from JSON in usage.', 'Use various data types available in the YAML language.', 'Understand Block Style and Flow Style to master the YAML structure.']"
106928,312494,Learn C++ Programming The Easy Way,development,Beginner Level,"Learn how to program in C++ from a seasoned veteran and former University course instructor, part 1.","['You will know how data is stored in computer memory, and how C++ ""types"" data into classes', 'Really understand how if/else and switch statements can be used to branch your code', 'Geniunely understand how loops work']"
106934,3526934,Microsoft SQL Server Backup and Recovery Course,development,All Levels,Manage and safeguard your database with MS SQL Server Backup and Restore ( Recover) strategy. Be ready for the emergency,"['This course provides the knowledge and skills for configuring backup and carrying out restores of SQL Server databases and instances', 'How to make very simply a BACKUP and a RESTORE', 'Discuss the BACKUP LOGS and DIFFERENTIAL BACKUP, and implement them in your BACKUP strategy.']"
106937,1802912,The Python 3 New Features from Python Enhancement Proposal,development,Intermediate Level,"The Best way to master and move to Python 3 is learn the difference between Python 3 and 2, PEP is the standard for this","['understand the differences between Python 2 and Python 3', 'can port their own code from python 2 to python 3', 'write python 3 native code']"
106943,1690768,Master Course for Python Network Programming,development,All Levels,"This course details wide range of python networking protocols TCP/UDP, POP3, IMAP, CGI,HTTP/HTTPS, FTP, SMTP & more","['Complete guidance A-Z to network programming in python', 'Discover core concepts of network communication and python networking', 'Touch a wide range of networking protocol and will understand the core concepts related to Python network programming']"
106944,1586100,JSON Checklist Practice Exercise Learn JSON,development,Beginner Level,Build a JSON data checklist using JavaScript from scratch.  Practice and learn JSON with JavaScript Objects,"['Use JSON within your JavaScript', 'Create a simple task list from scratch', 'Create JSON data']"
106946,4562888,"Process Automation: Learn Requirements, Use Cases, Camunda",development,Beginner Level,Learn use cases and requirements for a process automation solution PLUS Camunda overview as an industry leader,"['5 Use Cases for Process Automation using Workflow Technology', 'Camunda supports actionable insights based on real-time and historical process data', 'Deliver better customer experiences by ensuring that all aspects of an end-to-end business process are orchestrated across different systems and endpoints']"
106957,2072416,Learn Oracle Database Upgrade - Oracle 11g to 12c upgrade,development,All Levels,Start learning how to upgrade Oracle databases and learn hands-on approach step by step from Oracle 11G to Oracle 12c,"['How to install Oracle Linux and windows on virtual box', 'Know the database upgrade process and overview', 'Prepare your servers for database upgrade']"
106964,384006,3 steps Python Blueprint,development,All Levels,Getting Started with Python,"['write interactive programming applications', 'students taking up this course will have soild base in python ']"
106970,2312920,How to Become a Software QA Tester. Roman Savin's Course,development,Beginner Level,Your Road to а QA Career Starts Here!,"[""How to test computer software (software testing). We'll cover black and grey box approaches"", ""How to improve the software development process (Quality Assurance). We'll extensively cover SDLC"", 'How to work with databases, version control, builds, log files, interpreters, automation helpers, etc. etc.']"
106975,1605196,Data Programming with F#,development,Intermediate Level,Explore practical techniques to handle real-world data programming challenges,"['Strategies for processing data with the F# platform', 'Parsing data with FParse', 'Handling large data streams']"
106983,2086484,Machine Learning with Java and Weka,development,Beginner Level,Machine Learning and Statistical Learning with Java,['Create a data product using Weka and Java']
106985,3026140,JSON Quick Introduction JSON Data JavaScript using JSON,development,All Levels,EXPLORE HOW you can use JSON data within you frontend applications JavaScript JSON - Quick Introduction to JSON Data,"['What JSON data is and how to use it', 'Using JSON with JavaScript', 'JSON and how it works']"
106992,1568960,Introduction to Data Analysis and Statistics Using SQL,development,Beginner Level,Hands-on Practical Data Analysis Using SQL,"['Use SQL to get Data Count', 'Use SQL to find average of a set of data', 'Use SQL to find SUM of a set of data']"
106999,4299379,Go from scratch: Beginners-Friendly Guide,development,Beginner Level,Learn Go step by step from scratch in just a few days and start to develop real applications!,"['Install Go and all required tools and write your first program.', 'The fundamentals of Go languages.', 'How to work with variables, advanced data types and control structures.']"
107013,509844,Build Windows Forms App with Visual Studio - Land a job! - 2,development,All Levels,"Get an ""Entry Level"" .NET Developer job in an organization, with the skills you will get from this course.","['Build database and tables ', 'Connect an application to a database', 'Build a fully functional Windows Forms Application']"
107015,1418392,Data Science: Sparklyr Basics for Beginners,development,All Levels,Learn to interact with data in Apache Spark through sparklyr and simplify machine learning model implementations.,"['Learn to perform exploratory data analysis in Spark using sparklyr', 'Understand the differences between working with data frames in R and Spark', 'Learn how to connect to Spark locally or to a remote Spark cluster']"
107020,1698876,Salesforce Lightning Admin concepts in Sales / Service Cloud,development,Beginner Level,"Best course to learn Salesforce Sales / Service Clouds, Process Automation&Data Loader concepts in Lightning Environment","['You will be able to use the Salesforce Sales Cloud, Service Cloud and also perform various process automation techniques like Workflows & Process Builder', 'You will also be able to use Salesforce Data Loader to load the data into Salesforce (Insert, Modify, Delete).', ""If you need a discount, use coupon 'JAN2022_3' (Limited coupons available). Message me in LinkedIn if the coupon does not work.""]"
